h3_cell_int,h3_cell_hex,total_requests,completed_trips,no_drivers_count,cancelled_count,friction_rate_pct,avg_passenger_rating
615446140095037439,88a8100eebfffff,1286,896,193,197,30.33,4.57
615446140086648831,88a8100ee3fffff,1277,879,203,195,31.17,4.55
615446140084551679,88a8100ee1fffff,1258,859,202,197,31.72,4.56
615446140088745983,88a8100ee5fffff,1246,891,187,168,28.49,4.58
615446140092940287,88a8100ee9fffff,1229,860,189,180,30.02,4.56
615446139996471295,88a8100e8dfffff,1214,851,190,173,29.9,4.56
615446140090843135,88a8100ee7fffff,1213,876,166,171,27.78,4.58
615446140025831423,88a8100ea9fffff,1201,825,180,196,31.31,4.57
615446139407171583,88a8100c5bfffff,1195,843,169,183,29.46,4.56
615446140030025727,88a8100eadfffff,1179,822,177,180,30.28,4.58
615446139988082687,88a8100e85fffff,1176,850,147,179,27.72,4.56
615446140057288703,88a8100ec7fffff,1168,819,181,168,29.88,4.56
615446140055191551,88a8100ec5fffff,1164,789,179,196,32.22,4.56
615446139398782975,88a8100c53fffff,1158,832,166,160,28.15,4.57
615446140063580159,88a8100ecdfffff,1156,786,179,191,32.01,4.56
615446140027928575,88a8100eabfffff,1148,811,179,158,29.36,4.58
615446140017442815,88a8100ea1fffff,1140,813,183,144,28.68,4.56
615446139992276991,88a8100e89fffff,1134,762,198,174,32.8,4.57
615446140021637119,88a8100ea5fffff,1128,829,147,152,26.51,4.58
615446140050997247,88a8100ec1fffff,1123,783,154,186,30.28,4.54
615446139983888383,88a8100e81fffff,1115,782,162,171,29.87,4.58
615446140097134591,88a8100eedfffff,1109,764,186,159,31.11,4.57
615446139868545023,88a8100e13fffff,1095,742,190,163,32.24,4.56
615446139396685823,88a8100c51fffff,1083,771,153,159,28.81,4.55
615446140053094399,88a8100ec3fffff,1081,746,164,171,30.99,4.56
615446139994374143,88a8100e8bfffff,1069,730,168,171,31.71,4.58
615446139402977279,88a8100c57fffff,1066,771,157,138,27.67,4.58
615446139990179839,88a8100e87fffff,1046,742,144,160,29.06,4.57
615446139872739327,88a8100e17fffff,1040,749,148,143,27.98,4.56
615446139337965567,88a8100c19fffff,1036,735,157,144,29.05,4.58
615446139405074431,88a8100c59fffff,1030,694,162,174,32.62,4.59
615446139876933631,88a8100e1bfffff,1026,700,169,157,31.77,4.56
615446140061483007,88a8100ecbfffff,1011,691,181,139,31.65,4.58
615446139400880127,88a8100c55fffff,1009,703,155,151,30.33,4.59
615446137473597439,88a8100527fffff,997,711,145,141,28.69,4.55
615446140071968767,88a8100ed5fffff,994,711,140,143,28.47,4.55
615446140059385855,88a8100ec9fffff,989,689,156,144,30.33,4.58
615446140023734271,88a8100ea7fffff,985,685,160,140,30.46,4.55
615446139985985535,88a8100e83fffff,985,690,145,150,29.95,4.58
615446139866447871,88a8100e11fffff,975,670,135,170,31.28,4.57
615446139342159871,88a8100c1dfffff,967,693,138,136,28.34,4.57
615446140019539967,88a8100ea3fffff,955,705,109,141,26.18,4.57
615446139409268735,88a8100c5dfffff,955,671,126,158,29.74,4.55
615446139323285503,88a8100c0bfffff,954,695,130,129,27.15,4.55
615446139329576959,88a8100c11fffff,953,683,133,137,28.33,4.57
615446139340062719,88a8100c1bfffff,949,671,140,138,29.29,4.55
615446139902099455,88a8100e33fffff,945,650,135,160,31.22,4.57
615446139910488063,88a8100e3bfffff,943,651,136,156,30.97,4.58
615446139314896895,88a8100c03fffff,926,648,136,142,30.02,4.58
615446137469403135,88a8100523fffff,921,631,149,141,31.49,4.56
615446139333771263,88a8100c15fffff,894,622,147,125,30.43,4.54
